feature,importance
Hemoglobin A1c_last,0.5568145634128105
Glucose_mean,0.12033504095383414
med_count,0.05233653121480579
BMI_last,0.04004657247146385
age_at_last,0.03980770419986386
cond_unique,0.038915655383443326
Hemoglobin A1c_mean,0.03312179369058213
med_unique,0.02485846545367823
Body Weight_last,0.02308448196999451
Body Weight_mean,0.010152953884374963
BIRTHDATE_1968-10-07,0.009122629188515294
BIRTHDATE_1967-08-11,0.008752038827227126
BIRTHDATE_1971-03-31,0.008477991533063337
BIRTHDATE_1967-04-24,0.00846210065292146
enc_enc_cost_mean,0.007070036603762192
INCOME,0.0030321498490711806
Glucose_last,0.0018206317774930316
BIRTHDATE_1963-10-21,0.0010312405216864218
BIRTHDATE_1951-03-25,0.001023868944775107
BIRTHDATE_1915-09-22,0.0010181250791093176
BIRTHDATE_1968-03-22,0.001012534695512085
Body Height_mean,0.0010102285642126921
BIRTHDATE_1944-12-14,0.001002652424326882
BIRTHDATE_1958-09-18,0.000992914126021656
BIRTHDATE_1943-06-11,0.0009833170174283561
BIRTHDATE_1950-04-05,0.0009738583823082359
BIRTHDATE_1963-01-24,0.0009645355694291787
BIRTHDATE_1956-07-30,0.0009553459907079622
BMI_mean,0.0009462871194137316
Body Height_last,0.0009451988095805137
