feature,perm_importance
Hemoglobin A1c_last,0.34682496625300313
med_count,0.10133603565097593
Glucose_mean,0.051866609615922
Hemoglobin A1c_mean,0.042393837212097926
cond_unique,0.015408997034347033
Body Height_last,0.014417135143435317
Body Weight_mean,0.013935043137433229
GENDER_F,0.010185125671827295
Body Weight_last,0.009002278482023219
med_unique,0.008763330937473241
enc_n_encounters,0.006167031758159203
Glucose_last,0.006109870068251843
GENDER_M,0.005139805777737589
RACE_white,0.004244944269110951
Body Height_mean,0.002230560293354811
cond_count,0.0019753608196725224
BMI_last,0.0016157067735199037
ZIP,0.0013026370860183879
age_at_last,0.0010707721053370366
BIRTHDATE_1958-11-12,0.0009576899155546659
RACE_black,0.0008601010754109683
BIRTHDATE_1954-04-25,0.0008313108155572957
BIRTHDATE_1976-08-24,0.0007505705934807872
BMI_mean,0.0006376000216436028
BIRTHDATE_1918-04-18,0.0005906693260965656
RACE_hawaiian,0.0005598661818369876
RACE_asian,0.00038602780992729737
BIRTHDATE_1958-10-30,0.0002729649264877398
RACE_other,0.00022177969251060414
BIRTHDATE_1951-04-19,0.00019016124818599378
